event,map,match_id,team,opponent,agent
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,ENVY,LOUD,viper
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,ENVY,LOUD,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,ENVY,LOUD,harbor
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,ENVY,LOUD,iso
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,G2 Esports,LEVIATÁN,neon
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,G2 Esports,LEVIATÁN,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,G2 Esports,LEVIATÁN,vyse
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,G2 Esports,LEVIATÁN,astra
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,G2 Esports,LEVIATÁN,harbor
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,LOUD,ENVY,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,LOUD,ENVY,astra
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,LOUD,ENVY,harbor
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,LOUD,ENVY,kayo
americas_stage_1,BREEZE,americas_stage_1_breeze_envy_loud,LOUD,ENVY,jett
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,LEVIATÁN,G2 Esports,neon
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,LEVIATÁN,G2 Esports,viper
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,LEVIATÁN,G2 Esports,omen
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,LEVIATÁN,G2 Esports,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_g2_esports_leviat_n,LEVIATÁN,G2 Esports,chamber
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,KRÜ Esports,Sentinels,neon
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,KRÜ Esports,Sentinels,viper
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,KRÜ Esports,Sentinels,omen
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,KRÜ Esports,Sentinels,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,KRÜ Esports,Sentinels,chamber
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,viper
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,harbor
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,kayo
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,jett
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,neon
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,viper
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,harbor
americas_stage_1,BREEZE,americas_stage_1_breeze_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,kayo
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,Sentinels,KRÜ Esports,neon
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,Sentinels,KRÜ Esports,viper
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,Sentinels,KRÜ Esports,sova
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,Sentinels,KRÜ Esports,harbor
americas_stage_1,BREEZE,americas_stage_1_breeze_kr_esports_sentinels,Sentinels,KRÜ Esports,iso
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,ENVY,Cloud9,viper
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,ENVY,Cloud9,omen
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,ENVY,Cloud9,skye
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,ENVY,Cloud9,raze
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,ENVY,Cloud9,jett
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,G2 Esports,MIBR,neon
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,G2 Esports,MIBR,fade
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,G2 Esports,MIBR,vyse
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,G2 Esports,MIBR,astra
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,G2 Esports,MIBR,harbor
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,G2 Esports,LEVIATÁN,fade
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,G2 Esports,LEVIATÁN,vyse
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,G2 Esports,LEVIATÁN,astra
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,G2 Esports,LEVIATÁN,raze
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,G2 Esports,LEVIATÁN,harbor
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,LOUD,MIBR,neon
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,LOUD,MIBR,viper
