team,map,compositions,opponents,unique_comps,comp_diversity,map_volume_share,observed
Gentle Mates,FRACTURE,2,2,1,0.5,0.2,True
Gentle Mates,HAVEN,2,2,2,1.0,0.2,True
Gentle Mates,LOTUS,2,2,1,0.5,0.2,True
Gentle Mates,BIND,1,1,1,1.0,0.1,True
Global Esports,SPLIT,3,3,2,0.6667,0.375,True
Global Esports,BIND,1,1,1,1.0,0.125,True
Global Esports,FRACTURE,1,1,1,1.0,0.125,True
Global Esports,HAVEN,1,1,1,1.0,0.125,True
Global Esports,LOTUS,1,1,1,1.0,0.125,True
Global Esports,PEARL,1,1,1,1.0,0.125,True
JDG Esports,HAVEN,5,5,3,0.6,0.3571,True
JDG Esports,FRACTURE,3,3,2,0.6667,0.2143,True
JDG Esports,BIND,2,2,1,0.5,0.1429,True
JDG Esports,LOTUS,2,2,1,0.5,0.1429,True
JDG Esports,PEARL,1,1,1,1.0,0.0714,True
JDG Esports,SPLIT,1,1,1,1.0,0.0714,True
KRÜ Esports,LOTUS,3,3,1,0.3333,0.5,True
KRÜ Esports,BREEZE,1,1,1,1.0,0.1667,True
KRÜ Esports,HAVEN,1,1,1,1.0,0.1667,True
KRÜ Esports,SPLIT,1,1,1,1.0,0.1667,True
Karmine Corp,HAVEN,4,4,2,0.5,0.3636,True
Karmine Corp,FRACTURE,2,2,1,0.5,0.1818,True
Karmine Corp,LOTUS,2,2,2,1.0,0.1818,True
Karmine Corp,PEARL,2,2,2,1.0,0.1818,True
Karmine Corp,BIND,1,1,1,1.0,0.0909,True
Kiwoom DRX,FRACTURE,3,3,2,0.6667,0.3,True
Kiwoom DRX,HAVEN,3,3,3,1.0,0.3,True
Kiwoom DRX,LOTUS,2,2,1,0.5,0.2,True
Kiwoom DRX,PEARL,2,2,2,1.0,0.2,True
LEVIATÁN,BIND,2,2,1,0.5,0.2857,True
LEVIATÁN,BREEZE,1,1,1,1.0,0.1429,True
LEVIATÁN,FRACTURE,1,1,1,1.0,0.1429,True
LEVIATÁN,HAVEN,1,1,1,1.0,0.1429,True
LEVIATÁN,PEARL,1,1,1,1.0,0.1429,True
LEVIATÁN,SPLIT,1,1,1,1.0,0.1429,True
LOUD,HAVEN,2,2,1,0.5,0.2857,True
LOUD,PEARL,2,2,1,0.5,0.2857,True
LOUD,BREEZE,1,1,1,1.0,0.1429,True
LOUD,LOTUS,1,1,1,1.0,0.1429,True
LOUD,SPLIT,1,1,1,1.0,0.1429,True
MIBR,SPLIT,2,2,1,0.5,0.5,True
MIBR,HAVEN,1,1,1,1.0,0.25,True
MIBR,LOTUS,1,1,1,1.0,0.25,True
NRG,PEARL,2,2,2,1.0,0.4,True
NRG,SPLIT,2,2,2,1.0,0.4,True
NRG,LOTUS,1,1,1,1.0,0.2,True
Natus Vincere,BIND,3,3,2,0.6667,0.2727,True
Natus Vincere,LOTUS,3,3,2,0.6667,0.2727,True
Natus Vincere,PEARL,2,2,2,1.0,0.1818,True
Natus Vincere,SPLIT,2,2,2,1.0,0.1818,True
Natus Vincere,FRACTURE,1,1,1,1.0,0.0909,True
Nongshim RedForce,FRACTURE,2,2,1,0.5,0.25,True
Nongshim RedForce,LOTUS,2,2,2,1.0,0.25,True
Nongshim RedForce,BREEZE,1,1,1,1.0,0.125,True
Nongshim RedForce,HAVEN,1,1,1,1.0,0.125,True
Nongshim RedForce,PEARL,1,1,1,1.0,0.125,True
Nongshim RedForce,SPLIT,1,1,1,1.0,0.125,True
Nova Esports,BREEZE,2,2,1,0.5,0.2,True
Nova Esports,FRACTURE,2,2,2,1.0,0.2,True
Nova Esports,HAVEN,2,2,1,0.5,0.2,True
Nova Esports,LOTUS,2,2,1,0.5,0.2,True
Nova Esports,BIND,1,1,1,1.0,0.1,True
Nova Esports,SPLIT,1,1,1,1.0,0.1,True
PCIFIC Esports,SPLIT,4,4,2,0.5,0.4,True
PCIFIC Esports,LOTUS,2,2,2,1.0,0.2,True
PCIFIC Esports,BREEZE,1,1,1,1.0,0.1,True
PCIFIC Esports,FRACTURE,1,1,1,1.0,0.1,True
PCIFIC Esports,HAVEN,1,1,1,1.0,0.1,True
PCIFIC Esports,PEARL,1,1,1,1.0,0.1,True
Paper Rex,SPLIT,3,3,1,0.3333,0.3,True
Paper Rex,FRACTURE,2,2,1,0.5,0.2,True
Paper Rex,LOTUS,2,2,1,0.5,0.2,True
Paper Rex,BREEZE,1,1,1,1.0,0.1,True
Paper Rex,HAVEN,1,1,1,1.0,0.1,True
Paper Rex,PEARL,1,1,1,1.0,0.1,True
Rex Regum Qeon,BIND,2,2,1,0.5,0.2,True
Rex Regum Qeon,FRACTURE,2,2,1,0.5,0.2,True
Rex Regum Qeon,HAVEN,2,2,2,1.0,0.2,True
Rex Regum Qeon,PEARL,2,2,1,0.5,0.2,True
Rex Regum Qeon,SPLIT,2,2,1,0.5,0.2,True
Sentinels,BREEZE,1,1,1,1.0,0.25,True
Sentinels,HAVEN,1,1,1,1.0,0.25,True
Sentinels,LOTUS,1,1,1,1.0,0.25,True
Sentinels,SPLIT,1,1,1,1.0,0.25,True
T1,PEARL,3,3,1,0.3333,0.5,True
T1,BIND,1,1,1,1.0,0.1667,True
T1,HAVEN,1,1,1,1.0,0.1667,True
T1,LOTUS,1,1,1,1.0,0.1667,True
TYLOO,BIND,4,4,1,0.25,0.2667,True
TYLOO,BREEZE,3,3,1,0.3333,0.2,True
TYLOO,HAVEN,3,3,3,1.0,0.2,True
TYLOO,PEARL,2,2,2,1.0,0.1333,True
TYLOO,SPLIT,2,2,1,0.5,0.1333,True
TYLOO,FRACTURE,1,1,1,1.0,0.0667,True
Team Heretics,LOTUS,3,3,2,0.6667,0.3,True
Team Heretics,BIND,2,2,1,0.5,0.2,True
Team Heretics,FRACTURE,2,2,1,0.5,0.2,True
Team Heretics,PEARL,2,2,1,0.5,0.2,True
Team Heretics,HAVEN,1,1,1,1.0,0.1,True
Team Liquid,BIND,2,2,1,0.5,0.2222,True
Team Liquid,HAVEN,2,2,1,0.5,0.2222,True
Team Liquid,PEARL,2,2,1,0.5,0.2222,True
Team Liquid,BREEZE,1,1,1,1.0,0.1111,True
Team Liquid,LOTUS,1,1,1,1.0,0.1111,True
Team Liquid,SPLIT,1,1,1,1.0,0.1111,True
Team Secret,SPLIT,2,2,2,1.0,0.3333,True
Team Secret,BREEZE,1,1,1,1.0,0.1667,True
Team Secret,FRACTURE,1,1,1,1.0,0.1667,True
Team Secret,LOTUS,1,1,1,1.0,0.1667,True
Team Secret,PEARL,1,1,1,1.0,0.1667,True
Team Vitality,BREEZE,2,2,1,0.5,0.2222,True
Team Vitality,HAVEN,2,2,1,0.5,0.2222,True
Team Vitality,LOTUS,2,2,2,1.0,0.2222,True
Team Vitality,BIND,1,1,1,1.0,0.1111,True
Team Vitality,PEARL,1,1,1,1.0,0.1111,True
Team Vitality,SPLIT,1,1,1,1.0,0.1111,True
Titan Esports Club,FRACTURE,5,5,1,0.2,0.3571,True
Titan Esports Club,BREEZE,3,3,2,0.6667,0.2143,True
Titan Esports Club,SPLIT,3,3,1,0.3333,0.2143,True
Titan Esports Club,BIND,1,1,1,1.0,0.0714,True
Titan Esports Club,HAVEN,1,1,1,1.0,0.0714,True
Titan Esports Club,LOTUS,1,1,1,1.0,0.0714,True
Trace Esports,LOTUS,5,5,3,0.6,0.3333,True
Trace Esports,BIND,3,3,1,0.3333,0.2,True
Trace Esports,BREEZE,3,3,1,0.3333,0.2,True
Trace Esports,SPLIT,2,2,1,0.5,0.1333,True
Trace Esports,FRACTURE,1,1,1,1.0,0.0667,True
Trace Esports,HAVEN,1,1,1,1.0,0.0667,True
VARREL,HAVEN,3,3,3,1.0,0.3333,True
VARREL,LOTUS,2,2,1,0.5,0.2222,True
VARREL,BIND,1,1,1,1.0,0.1111,True
VARREL,FRACTURE,1,1,1,1.0,0.1111,True
VARREL,PEARL,1,1,1,1.0,0.1111,True
VARREL,SPLIT,1,1,1,1.0,0.1111,True
Wolves Esports,LOTUS,5,5,2,0.4,0.4167,True
Wolves Esports,FRACTURE,3,3,2,0.6667,0.25,True
Wolves Esports,BIND,2,2,2,1.0,0.1667,True
Wolves Esports,BREEZE,1,1,1,1.0,0.0833,True
Wolves Esports,PEARL,1,1,1,1.0,0.0833,True
