map,agent,maps_played,events_count,pick_rate,atk_side_rate,def_side_rate,agent_picks,total_compositions,pick_rate_from_comps,side_delta,sample_confidence,observed,agent_presence_score
Bind,vyse,30.0,4.0,0.049666666666666665,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,22.98
Bind,kayo,30.0,4.0,0.04933333333333333,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,22.96
Bind,tejo,30.0,4.0,0.03666666666666667,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,22.2
Bind,omen,30.0,4.0,0.03266666666666667,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,21.96
Bind,cypher,30.0,4.0,0.018666666666666668,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,21.12
Bind,miks,30.0,4.0,0.018666666666666668,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,21.12
Bind,deadlock,30.0,4.0,0.016666666666666666,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,21.0
Bind,jett,30.0,4.0,0.016666666666666666,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,21.0
Bind,yoru,30.0,4.0,0.016666666666666666,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,21.0
Bind,breach,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,clove,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,harbor,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,iso,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,killjoy,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,reyna,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,sage,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,sova,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Bind,veto,30.0,4.0,0.0,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,20.0
Breeze,viper,24.0,4.0,0.8783333333333334,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,72.7
Breeze,sova,24.0,4.0,0.875,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,72.5
Breeze,neon,24.0,4.0,0.6266666666666666,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,57.6
Breeze,jett,24.0,4.0,0.4991666666666667,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,49.95
Breeze,kayo,24.0,4.0,0.39749999999999996,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,43.85
Breeze,astra,24.0,4.0,0.39499999999999996,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,43.7
Breeze,omen,24.0,4.0,0.3575,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,41.45
Breeze,harbor,24.0,4.0,0.33666666666666667,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,40.2
Breeze,waylay,24.0,4.0,0.21,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,32.6
Breeze,skye,24.0,4.0,0.145,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,28.7
Breeze,phoenix,24.0,4.0,0.08583333333333333,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,25.15
