map,agent_a,agent_b,pair_picks,teams_count,events_count,total_compositions,pair_pick_rate,agent_a_rate,agent_b_rate,synergy_lift,observed
PEARL,sova,waylay,9,7,4,66,0.1364,0.2879,0.303,1.563,True
PEARL,fade,phoenix,20,14,4,66,0.303,0.5152,0.3939,1.493,True
PEARL,killjoy,waylay,12,8,4,66,0.1818,0.4242,0.303,1.415,True
PEARL,chamber,sova,9,6,3,66,0.1364,0.3636,0.2879,1.303,True
PEARL,neon,skye,10,6,4,66,0.1515,0.803,0.1515,1.245,True
PEARL,harbor,neon,3,2,2,66,0.0455,0.0455,0.803,1.244,True
PEARL,killjoy,tejo,9,4,3,66,0.1364,0.4242,0.2727,1.179,True
PEARL,neon,phoenix,22,16,4,66,0.3333,0.803,0.3939,1.054,True
PEARL,kayo,neon,5,3,3,66,0.0758,0.0909,0.803,1.038,True
PEARL,astra,tejo,18,10,4,66,0.2727,1.0,0.2727,1.0,True
PEARL,astra,skye,10,6,4,66,0.1515,1.0,0.1515,1.0,True
PEARL,astra,kayo,6,4,3,66,0.0909,1.0,0.0909,1.0,True
PEARL,astra,vyse,5,5,4,66,0.0758,1.0,0.0758,0.999,True
PEARL,astra,harbor,3,2,2,66,0.0455,1.0,0.0455,0.999,True
PEARL,astra,jett,3,3,2,66,0.0455,1.0,0.0455,0.999,True
PEARL,astra,veto,3,3,2,66,0.0455,1.0,0.0455,0.999,True
PEARL,cypher,waylay,3,2,1,66,0.0455,0.1515,0.303,0.99,True
PEARL,chamber,neon,19,17,4,66,0.2879,0.3636,0.803,0.986,True
PEARL,killjoy,skye,4,2,1,66,0.0606,0.4242,0.1515,0.943,True
PEARL,killjoy,phoenix,10,6,4,66,0.1515,0.4242,0.3939,0.907,True
PEARL,astra,waylay,18,14,4,66,0.2727,1.0,0.303,0.9,True
PEARL,astra,cypher,9,6,2,66,0.1364,1.0,0.1515,0.9,True
PEARL,astra,sova,17,12,4,66,0.2576,1.0,0.2879,0.895,True
PEARL,astra,phoenix,23,17,4,66,0.3485,1.0,0.3939,0.885,True
PEARL,fade,waylay,9,6,3,66,0.1364,0.5152,0.303,0.874,True
PEARL,cypher,neon,7,5,2,66,0.1061,0.1515,0.803,0.872,True
PEARL,killjoy,sova,7,4,3,66,0.1061,0.4242,0.2879,0.868,True
PEARL,chamber,phoenix,8,8,3,66,0.1212,0.3636,0.3939,0.846,True
PEARL,fade,neon,23,17,4,66,0.3485,0.5152,0.803,0.842,True
PEARL,astra,chamber,19,17,4,66,0.2879,1.0,0.3636,0.792,True
PEARL,fade,killjoy,11,9,4,66,0.1667,0.5152,0.4242,0.763,True
PEARL,killjoy,neon,17,13,4,66,0.2576,0.4242,0.803,0.756,True
PEARL,neon,vyse,3,3,2,66,0.0455,0.803,0.0758,0.747,True
PEARL,astra,fade,25,21,4,66,0.3788,1.0,0.5152,0.735,True
PEARL,neon,sova,11,10,3,66,0.1667,0.803,0.2879,0.721,True
PEARL,astra,killjoy,20,16,4,66,0.303,1.0,0.4242,0.714,True
PEARL,astra,neon,33,33,4,66,0.5,1.0,0.803,0.623,True
PEARL,chamber,tejo,4,3,3,66,0.0606,0.3636,0.2727,0.611,True
PEARL,chamber,fade,7,7,3,66,0.1061,0.3636,0.5152,0.566,True
PEARL,neon,tejo,8,5,4,66,0.1212,0.803,0.2727,0.554,True
PEARL,neon,waylay,8,6,3,66,0.1212,0.803,0.303,0.498,True
PEARL,fade,tejo,4,3,2,66,0.0606,0.5152,0.2727,0.431,True
PEARL,chamber,killjoy,4,2,1,66,0.0606,0.3636,0.4242,0.393,True
SPLIT,jett,raze,5,3,3,68,0.0735,0.0882,0.3971,2.099,True
SPLIT,jett,skye,6,4,3,68,0.0882,0.0882,0.5588,1.79,True
SPLIT,deadlock,skye,3,3,2,68,0.0441,0.0441,0.5588,1.79,True
SPLIT,fade,vyse,10,10,4,68,0.1471,0.4412,0.1912,1.743,True
SPLIT,astra,raze,11,7,2,68,0.1618,0.25,0.3971,1.629,True
SPLIT,cypher,skye,5,4,3,68,0.0735,0.0882,0.5588,1.492,True
SPLIT,fade,raze,17,12,4,68,0.25,0.4412,0.3971,1.427,True
SPLIT,astra,fade,10,6,2,68,0.1471,0.25,0.4412,1.333,True
SPLIT,astra,vyse,4,3,2,68,0.0588,0.25,0.1912,1.231,True
SPLIT,raze,vyse,6,5,3,68,0.0882,0.3971,0.1912,1.162,True
SPLIT,cypher,omen,5,5,3,68,0.0735,0.0882,0.75,1.112,True
SPLIT,jett,omen,5,3,3,68,0.0735,0.0882,0.75,1.112,True
SPLIT,cypher,neon,5,4,3,68,0.0735,0.0882,0.7794,1.07,True
SPLIT,skye,waylay,16,13,3,68,0.2353,0.5588,0.4118,1.023,True
SPLIT,jett,viper,5,3,3,68,0.0735,0.0882,0.8824,0.945,True
SPLIT,skye,viper,28,20,4,68,0.4118,0.5588,0.8824,0.835,True
SPLIT,fade,neon,19,16,4,68,0.2794,0.4412,0.7794,0.813,True
SPLIT,neon,skye,24,18,4,68,0.3529,0.7794,0.5588,0.81,True
SPLIT,omen,skye,23,20,4,68,0.3382,0.75,0.5588,0.807,True
