event,map,team,opponent,agent
americas_stage_1,SPLIT,ENVY,Cloud9,jett
americas_stage_1,SPLIT,G2 Esports,MIBR,neon
americas_stage_1,SPLIT,G2 Esports,MIBR,fade
americas_stage_1,SPLIT,G2 Esports,MIBR,vyse
americas_stage_1,SPLIT,G2 Esports,MIBR,astra
americas_stage_1,SPLIT,G2 Esports,MIBR,harbor
americas_stage_1,SPLIT,G2 Esports,LEVIATÁN,fade
americas_stage_1,SPLIT,G2 Esports,LEVIATÁN,vyse
americas_stage_1,SPLIT,G2 Esports,LEVIATÁN,astra
americas_stage_1,SPLIT,G2 Esports,LEVIATÁN,raze
americas_stage_1,SPLIT,G2 Esports,LEVIATÁN,harbor
americas_stage_1,SPLIT,LOUD,MIBR,neon
americas_stage_1,SPLIT,LOUD,MIBR,viper
americas_stage_1,SPLIT,LOUD,MIBR,omen
americas_stage_1,SPLIT,LOUD,MIBR,skye
americas_stage_1,SPLIT,LOUD,MIBR,cypher
americas_stage_1,SPLIT,LEVIATÁN,G2 Esports,neon
americas_stage_1,SPLIT,LEVIATÁN,G2 Esports,viper
americas_stage_1,SPLIT,LEVIATÁN,G2 Esports,omen
americas_stage_1,SPLIT,LEVIATÁN,G2 Esports,fade
americas_stage_1,SPLIT,LEVIATÁN,G2 Esports,phoenix
americas_stage_1,SPLIT,FURIA,NRG,neon
americas_stage_1,SPLIT,FURIA,NRG,viper
americas_stage_1,SPLIT,FURIA,NRG,omen
americas_stage_1,SPLIT,FURIA,NRG,fade
americas_stage_1,SPLIT,FURIA,NRG,vyse
americas_stage_1,SPLIT,KRÜ Esports,NRG,neon
americas_stage_1,SPLIT,KRÜ Esports,NRG,viper
americas_stage_1,SPLIT,KRÜ Esports,NRG,omen
americas_stage_1,SPLIT,KRÜ Esports,NRG,fade
americas_stage_1,SPLIT,KRÜ Esports,NRG,vyse
americas_stage_1,SPLIT,100 Thieves,Sentinels,viper
americas_stage_1,SPLIT,100 Thieves,Sentinels,omen
americas_stage_1,SPLIT,100 Thieves,Sentinels,fade
americas_stage_1,SPLIT,100 Thieves,Sentinels,raze
americas_stage_1,SPLIT,100 Thieves,Sentinels,sage
americas_stage_1,SPLIT,Cloud9,ENVY,neon
americas_stage_1,SPLIT,Cloud9,ENVY,viper
americas_stage_1,SPLIT,Cloud9,ENVY,omen
americas_stage_1,SPLIT,Cloud9,ENVY,vyse
americas_stage_1,SPLIT,Cloud9,ENVY,skye
americas_stage_1,SPLIT,NRG,FURIA,viper
americas_stage_1,SPLIT,NRG,FURIA,omen
americas_stage_1,SPLIT,NRG,FURIA,skye
americas_stage_1,SPLIT,NRG,FURIA,raze
americas_stage_1,SPLIT,NRG,FURIA,deadlock
americas_stage_1,SPLIT,NRG,KRÜ Esports,neon
americas_stage_1,SPLIT,NRG,KRÜ Esports,viper
americas_stage_1,SPLIT,NRG,KRÜ Esports,omen
americas_stage_1,SPLIT,NRG,KRÜ Esports,fade
americas_stage_1,SPLIT,NRG,KRÜ Esports,vyse
americas_stage_1,SPLIT,Sentinels,100 Thieves,neon
americas_stage_1,SPLIT,Sentinels,100 Thieves,viper
americas_stage_1,SPLIT,Sentinels,100 Thieves,omen
americas_stage_1,SPLIT,Sentinels,100 Thieves,skye
americas_stage_1,SPLIT,Sentinels,100 Thieves,sage
americas_stage_1,SPLIT,MIBR,G2 Esports,neon
americas_stage_1,SPLIT,MIBR,G2 Esports,fade
americas_stage_1,SPLIT,MIBR,G2 Esports,vyse
americas_stage_1,SPLIT,MIBR,G2 Esports,astra
americas_stage_1,SPLIT,MIBR,G2 Esports,raze
americas_stage_1,SPLIT,MIBR,LOUD,neon
americas_stage_1,SPLIT,MIBR,LOUD,fade
americas_stage_1,SPLIT,MIBR,LOUD,vyse
americas_stage_1,SPLIT,MIBR,LOUD,astra
americas_stage_1,SPLIT,MIBR,LOUD,raze
americas_stage_1,HAVEN,ENVY,Cloud9,neon
americas_stage_1,HAVEN,ENVY,Cloud9,sova
americas_stage_1,HAVEN,ENVY,Cloud9,astra
