map,agent,maps_played,pick_rate,pick_rate_from_comps,sample_reliability_score,global_pick_rate,local_pick_delta,cross_map_stability_score,map_dependence_score,meta_presence_score,agent_meta_label,tier_score,tier
All Maps,neon,232.0,0.8054874188991837,,0.8539714285714286,0.8105747126436783,-0.005057142857142857,0.7901999999999999,-0.006771428571428573,0.6083142857142858,global_meta_core,0.6083142857142858,global_meta_core
All Maps,waylay,232.0,0.3690440931617402,,0.8539714285714286,0.3605603448275862,0.008485714285714286,0.6447,0.011357142857142859,0.40467142857142857,stable_pick,0.40467142857142857,stable_pick
All Maps,viper,232.0,0.5035771984007278,,0.8539714285714286,0.4952011494252873,0.00837142857142857,0.08619999999999998,0.011200000000000012,0.3467571428571428,situational_pick,0.3467571428571428,situational_pick
All Maps,skye,232.0,0.3489778587425646,,0.8539714285714286,0.3345689655172413,0.014399999999999996,0.3435,0.019271428571428568,0.3363714285714286,situational_pick,0.3363714285714286,situational_pick
All Maps,clove,232.0,0.0,,0.8539714285714286,0.0,0.0,1.0,0.0,0.3280857142857143,situational_pick,0.3280857142857143,situational_pick
All Maps,reyna,232.0,0.0,,0.8539714285714286,0.0,0.0,1.0,0.0,0.3280857142857143,situational_pick,0.3280857142857143,situational_pick
All Maps,deadlock,232.0,0.02215750915750913,,0.8539714285714286,0.0242097701149425,-0.002028571428571428,0.9554,-0.0027142857142857147,0.3280285714285714,situational_pick,0.3280285714285714,situational_pick
All Maps,sage,232.0,0.013577964519140973,,0.8539714285714286,0.0137643678160919,-0.0001999999999999998,0.9667,-0.0002714285714285713,0.3268714285714286,situational_pick,0.3268714285714286,situational_pick
All Maps,miks,232.0,0.004380952380952372,,0.8539714285714286,0.0039942528735632,0.0003857142857142856,0.9826,0.0005571428571428567,0.3263857142857143,situational_pick,0.3263857142857143,situational_pick
All Maps,yoru,232.0,0.0023809523809523716,,0.8539714285714286,0.0022126436781609,0.00018571428571428572,0.9858,0.00028571428571428595,0.32621428571428573,situational_pick,0.32621428571428573,situational_pick
All Maps,chamber,232.0,0.1253047323047323,,0.8539714285714286,0.1258908045977011,-0.0005857142857142886,0.7275,-0.0007857142857142825,0.32371428571428573,situational_pick,0.32371428571428573,situational_pick
