team,map,agents,times_used,teams_using_same_comp,maps_seen,composition_frequency,composition_uniqueness_score,composition_stability_label,sample_reliability_score
Paper Rex,SPLIT,"jett,omen,raze,skye,viper",3,3,1,1.0,0.8462,map_specific_comp,0.7746
Rex Regum Qeon,BIND,"brimstone,neon,skye,viper,waylay",2,14,1,1.0,0.0,standard_meta_comp,0.6325
Rex Regum Qeon,FRACTURE,"brimstone,neon,raze,skye,veto",2,1,1,1.0,1.0,team_signature_comp,0.6325
Rex Regum Qeon,HAVEN,"cypher,jett,neon,omen,sova",1,3,1,0.5,0.8462,map_specific_comp,0.4472
Rex Regum Qeon,HAVEN,"killjoy,neon,omen,sova,viper",1,11,1,0.5,0.2308,standard_meta_comp,0.4472
Rex Regum Qeon,PEARL,"astra,chamber,kayo,neon,sova",2,3,1,1.0,0.8462,map_specific_comp,0.6325
Rex Regum Qeon,SPLIT,"neon,omen,skye,viper,waylay",2,10,2,1.0,0.3077,standard_meta_comp,0.6325
Sentinels,BREEZE,"harbor,iso,neon,sova,viper",1,3,1,1.0,0.8462,map_specific_comp,0.4472
Sentinels,HAVEN,"killjoy,neon,omen,sova,viper",1,11,1,1.0,0.2308,standard_meta_comp,0.4472
Sentinels,LOTUS,"fade,omen,raze,veto,viper",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
Sentinels,SPLIT,"neon,omen,sage,skye,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
T1,BIND,"brimstone,chamber,neon,skye,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
T1,HAVEN,"astra,chamber,neon,phoenix,skye",1,1,1,1.0,1.0,team_signature_comp,0.4472
T1,LOTUS,"fade,killjoy,neon,omen,viper",1,3,1,1.0,0.8462,map_specific_comp,0.4472
T1,PEARL,"astra,chamber,killjoy,neon,skye",3,2,1,1.0,0.9231,team_signature_comp,0.7746
TYLOO,BIND,"brimstone,neon,skye,viper,waylay",4,14,1,1.0,0.0,standard_meta_comp,0.8944
TYLOO,BREEZE,"astra,jett,kayo,sova,viper",3,4,1,1.0,0.7692,standard_meta_comp,0.7746
TYLOO,FRACTURE,"brimstone,cypher,neon,phoenix,tejo",1,1,1,1.0,1.0,team_signature_comp,0.4472
TYLOO,HAVEN,"cypher,neon,omen,sova,viper",1,1,1,0.3333,1.0,map_specific_comp,0.4472
TYLOO,HAVEN,"cypher,neon,omen,sova,waylay",1,6,1,0.3333,0.6154,standard_meta_comp,0.4472
TYLOO,HAVEN,"killjoy,neon,omen,sova,viper",1,11,1,0.3333,0.2308,standard_meta_comp,0.4472
TYLOO,PEARL,"astra,chamber,fade,neon,phoenix",1,7,2,0.5,0.5385,standard_meta_comp,0.4472
TYLOO,PEARL,"astra,fade,killjoy,neon,phoenix",1,5,1,0.5,0.6923,standard_meta_comp,0.4472
TYLOO,SPLIT,"neon,omen,skye,viper,waylay",2,10,2,1.0,0.3077,standard_meta_comp,0.6325
Team Heretics,BIND,"astra,chamber,neon,skye,viper",2,1,1,1.0,1.0,team_signature_comp,0.6325
Team Heretics,FRACTURE,"brimstone,cypher,fade,neon,raze",2,1,1,1.0,1.0,team_signature_comp,0.6325
Team Heretics,HAVEN,"cypher,neon,omen,phoenix,sova",1,8,1,1.0,0.4615,standard_meta_comp,0.4472
Team Heretics,LOTUS,"fade,neon,omen,raze,vyse",2,7,1,0.6667,0.5385,standard_meta_comp,0.6325
Team Heretics,LOTUS,"chamber,harbor,neon,omen,skye",1,1,1,0.3333,1.0,map_specific_comp,0.4472
Team Heretics,PEARL,"astra,chamber,harbor,neon,skye",2,1,1,1.0,1.0,team_signature_comp,0.6325
Team Liquid,BIND,"brimstone,neon,phoenix,skye,viper",2,2,1,1.0,0.9231,team_signature_comp,0.6325
Team Liquid,BREEZE,"kayo,neon,omen,sova,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
Team Liquid,HAVEN,"killjoy,neon,omen,phoenix,skye",2,1,1,1.0,1.0,team_signature_comp,0.6325
Team Liquid,LOTUS,"cypher,fade,neon,omen,raze",1,1,1,1.0,1.0,team_signature_comp,0.4472
Team Liquid,PEARL,"astra,fade,killjoy,neon,phoenix",2,5,1,1.0,0.6923,standard_meta_comp,0.6325
Team Liquid,SPLIT,"astra,fade,neon,raze,viper",1,3,1,1.0,0.8462,map_specific_comp,0.4472
Team Secret,BREEZE,"astra,jett,kayo,sova,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
Team Secret,FRACTURE,"brimstone,cypher,neon,skye,tejo",1,2,1,1.0,0.9231,team_signature_comp,0.4472
Team Secret,LOTUS,"fade,neon,omen,viper,vyse",1,8,2,1.0,0.4615,standard_meta_comp,0.4472
Team Secret,PEARL,"astra,chamber,killjoy,neon,skye",1,2,1,1.0,0.9231,team_signature_comp,0.4472
Team Secret,SPLIT,"astra,cypher,neon,skye,viper",1,1,1,0.5,1.0,team_signature_comp,0.4472
Team Secret,SPLIT,"cypher,neon,omen,skye,viper",1,2,1,0.5,0.9231,team_signature_comp,0.4472
Team Vitality,BIND,"brimstone,fade,neon,phoenix,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
Team Vitality,BREEZE,"harbor,jett,kayo,sova,viper",2,4,1,1.0,0.7692,standard_meta_comp,0.6325
Team Vitality,HAVEN,"killjoy,neon,omen,sova,viper",2,11,1,1.0,0.2308,standard_meta_comp,0.6325
Team Vitality,LOTUS,"fade,killjoy,neon,omen,viper",1,3,1,0.5,0.8462,map_specific_comp,0.4472
Team Vitality,LOTUS,"fade,neon,omen,viper,vyse",1,8,2,0.5,0.4615,standard_meta_comp,0.4472
Team Vitality,PEARL,"astra,chamber,kayo,neon,sova",1,3,1,1.0,0.8462,map_specific_comp,0.4472
Team Vitality,SPLIT,"fade,neon,omen,raze,viper",1,5,2,1.0,0.6923,standard_meta_comp,0.4472
Titan Esports Club,BIND,"brimstone,neon,skye,viper,waylay",1,14,1,1.0,0.0,standard_meta_comp,0.4472
Titan Esports Club,BREEZE,"astra,neon,sova,viper,waylay",2,2,1,0.6667,0.9231,team_signature_comp,0.6325
Titan Esports Club,BREEZE,"harbor,neon,sova,viper,waylay",1,1,1,0.3333,1.0,map_specific_comp,0.4472
Titan Esports Club,FRACTURE,"brimstone,cypher,neon,skye,waylay",5,7,2,1.0,0.5385,standard_meta_comp,1.0
Titan Esports Club,HAVEN,"cypher,neon,omen,sova,waylay",1,6,1,1.0,0.6154,standard_meta_comp,0.4472
Titan Esports Club,LOTUS,"fade,neon,omen,viper,waylay",1,4,2,1.0,0.7692,standard_meta_comp,0.4472
Titan Esports Club,SPLIT,"neon,omen,skye,viper,waylay",3,10,2,1.0,0.3077,standard_meta_comp,0.7746
Trace Esports,BIND,"brimstone,neon,skye,viper,waylay",3,14,1,1.0,0.0,standard_meta_comp,0.7746
Trace Esports,BREEZE,"jett,omen,phoenix,sova,viper",3,1,1,1.0,1.0,team_signature_comp,0.7746
Trace Esports,FRACTURE,"breach,brimstone,cypher,neon,tejo",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
Trace Esports,HAVEN,"killjoy,neon,omen,sova,viper",1,11,1,1.0,0.2308,standard_meta_comp,0.4472
Trace Esports,LOTUS,"fade,omen,raze,veto,viper",3,3,2,0.6,0.8462,standard_meta_comp,0.7746
Trace Esports,LOTUS,"fade,killjoy,omen,viper,waylay",1,3,1,0.2,0.8462,standard_meta_comp,0.4472
Trace Esports,LOTUS,"fade,neon,omen,vyse,waylay",1,2,1,0.2,0.9231,rare_comp,0.4472
Trace Esports,SPLIT,"neon,omen,skye,viper,waylay",2,10,2,1.0,0.3077,standard_meta_comp,0.6325
VARREL,BIND,"astra,chamber,jett,skye,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
VARREL,FRACTURE,"breach,brimstone,cypher,neon,raze",1,3,1,1.0,0.8462,map_specific_comp,0.4472
VARREL,HAVEN,"astra,chamber,neon,phoenix,sova",1,3,2,0.3333,0.8462,standard_meta_comp,0.4472
VARREL,HAVEN,"cypher,deadlock,omen,skye,waylay",1,3,2,0.3333,0.8462,standard_meta_comp,0.4472
VARREL,HAVEN,"cypher,jett,neon,omen,sova",1,3,1,0.3333,0.8462,map_specific_comp,0.4472
VARREL,LOTUS,"fade,neon,omen,raze,viper",2,5,2,1.0,0.6923,standard_meta_comp,0.6325
VARREL,PEARL,"astra,fade,kayo,killjoy,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
VARREL,SPLIT,"astra,deadlock,jett,skye,tejo",1,1,1,1.0,1.0,team_signature_comp,0.4472
Wolves Esports,BIND,"brimstone,neon,raze,skye,viper",1,2,1,0.5,0.9231,team_signature_comp,0.4472
Wolves Esports,BIND,"brimstone,skye,tejo,viper,waylay",1,1,1,0.5,1.0,team_signature_comp,0.4472
Wolves Esports,BREEZE,"astra,jett,kayo,sova,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
Wolves Esports,FRACTURE,"breach,brimstone,cypher,tejo,waylay",2,2,1,0.6667,0.9231,team_signature_comp,0.6325
Wolves Esports,FRACTURE,"brimstone,cypher,neon,skye,waylay",1,7,2,0.3333,0.5385,standard_meta_comp,0.4472
Wolves Esports,LOTUS,"fade,killjoy,omen,viper,waylay",4,3,1,0.8,0.8462,map_specific_comp,0.8944
Wolves Esports,LOTUS,"fade,neon,omen,raze,vyse",1,7,1,0.2,0.5385,standard_meta_comp,0.4472
Wolves Esports,PEARL,"astra,killjoy,sova,tejo,waylay",1,3,1,1.0,0.8462,map_specific_comp,0.4472
Xi Lai Gaming,BIND,"brimstone,neon,skye,viper,waylay",5,14,1,1.0,0.0,standard_meta_comp,1.0
Xi Lai Gaming,BREEZE,"chamber,neon,sage,sova,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
Xi Lai Gaming,FRACTURE,"brimstone,neon,skye,tejo,veto",1,1,1,1.0,1.0,team_signature_comp,0.4472
Xi Lai Gaming,HAVEN,"killjoy,neon,omen,sova,viper",2,11,1,1.0,0.2308,standard_meta_comp,0.6325
Xi Lai Gaming,LOTUS,"neon,omen,skye,viper,waylay",5,10,2,1.0,0.3077,standard_meta_comp,1.0
Xi Lai Gaming,SPLIT,"neon,omen,skye,viper,waylay",2,10,2,1.0,0.3077,standard_meta_comp,0.6325
ZETA DIVISION,BIND,"brimstone,neon,skye,viper,waylay",1,14,1,1.0,0.0,standard_meta_comp,0.4472
ZETA DIVISION,FRACTURE,"breach,brimstone,neon,veto,waylay",2,1,1,1.0,1.0,team_signature_comp,0.6325
ZETA DIVISION,HAVEN,"cypher,neon,omen,sova,waylay",1,6,1,1.0,0.6154,standard_meta_comp,0.4472
ZETA DIVISION,LOTUS,"fade,neon,omen,viper,waylay",1,4,2,1.0,0.7692,standard_meta_comp,0.4472
ZETA DIVISION,PEARL,"astra,cypher,fade,neon,phoenix",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
ZETA DIVISION,SPLIT,"neon,omen,skye,viper,waylay",2,10,2,1.0,0.3077,standard_meta_comp,0.6325
