team,total_compositions,maps_covered,agent_pool_size,unique_compositions,composition_reuse_rate,composition_stability_score,map_pool_visibility_score,agent_core_score,map_identity_score,sample_reliability_score,tactical_profile_score,tactical_profile_label,team_profile_score
LOUD,7,5,14,5,0.2857,0.2857,0.7143,0.5,0.2857,0.6614,0.4706,flexible_pool,0.4706
Team Heretics,10,5,14,6,0.4,0.4,0.7143,0.2143,0.3,0.7906,0.4643,stable_core,0.4643
ZETA DIVISION,8,6,13,6,0.25,0.25,0.8571,0.3077,0.25,0.7071,0.4515,flexible_pool,0.4515
Team Vitality,9,6,15,7,0.2222,0.2222,0.8571,0.3333,0.2222,0.75,0.4506,flexible_pool,0.4506
Gentle Mates,10,5,14,6,0.4,0.4,0.7143,0.1429,0.3,0.7906,0.45,stable_core,0.45
Eternal Fire,10,6,17,8,0.2,0.2,0.8571,0.2353,0.3,0.7906,0.4471,flexible_pool,0.4471
G2 Esports,7,6,12,6,0.1429,0.1429,0.8571,0.4167,0.2857,0.6614,0.4468,flexible_pool,0.4468
DetonatioN FocusMe,10,5,17,6,0.4,0.4,0.7143,0.1176,0.3,0.7906,0.445,stable_core,0.445
Nova Esports,10,6,16,7,0.3,0.3,0.8571,0.1875,0.2,0.7906,0.4425,flexible_pool,0.4425
Rex Regum Qeon,10,5,15,6,0.4,0.4,0.7143,0.2,0.2,0.7906,0.4414,stable_core,0.4414
Gen.G,10,7,19,8,0.2,0.2,1.0,0.1579,0.2,0.7906,0.4402,flexible_pool,0.4402
Nongshim RedForce,8,6,16,6,0.25,0.25,0.8571,0.25,0.25,0.7071,0.44,flexible_pool,0.44
FUT Esports,11,7,16,10,0.0909,0.0909,1.0,0.1875,0.2727,0.8292,0.4391,flexible_pool,0.4391
BBL Esports,10,5,14,8,0.2,0.2,0.7143,0.2857,0.3,0.7906,0.4286,flexible_pool,0.4286
Global Esports,8,6,18,7,0.125,0.125,0.8571,0.2222,0.375,0.7071,0.4282,flexible_pool,0.4282
FNATIC,10,5,16,7,0.3,0.3,0.7143,0.125,0.3,0.7906,0.4214,flexible_pool,0.4214
ENVY,8,7,18,7,0.125,0.125,1.0,0.1667,0.25,0.7071,0.4207,flexible_pool,0.4207
Evil Geniuses,5,4,11,4,0.2,0.2,0.5714,0.4545,0.4,0.559,0.419,flexible_pool,0.419
VARREL,9,6,19,8,0.1111,0.1111,0.8571,0.1579,0.3333,0.75,0.4099,flexible_pool,0.4099
100 Thieves,5,4,14,4,0.2,0.2,0.5714,0.2857,0.4,0.559,0.3853,flexible_pool,0.3853
Kiwoom DRX,10,4,15,8,0.2,0.2,0.5714,0.2,0.3,0.7906,0.3829,flexible_pool,0.3829
Cloud9,5,3,10,4,0.2,0.2,0.4286,0.4,0.4,0.559,0.3796,flexible_pool,0.3796
Team Secret,6,5,15,6,0.0,0.0,0.7143,0.3333,0.3333,0.6124,0.368,flexible_pool,0.368
NRG,5,3,13,4,0.2,0.2,0.4286,0.2308,0.4,0.559,0.3457,flexible_pool,0.3457
Sentinels,4,4,12,4,0.0,0.0,0.5714,0.3333,0.25,0.5,0.3059,flexible_pool,0.3059
